age,job_type,marital_status,education,has_credit_in_default,housing_loan,personal_loan,communication_type,last_contact_month,last_contact_day_of_week,last_contact_duration_secs,previous_campaign_outcome,previous_campaign_num_contacts,current_campaign_num_contacts,current_campaign_subscribed
43,technician,single,professional.course,no,no,no,telephone,jul,wed,44,nonexistent,0,2,no
50,blue-collar,divorced,basic.9y,no,no,no,telephone,jul,wed,79,nonexistent,0,3,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,wed,306,nonexistent,0,2,no
30,blue-collar,single,high.school,no,no,no,telephone,jul,wed,71,nonexistent,0,1,no
47,technician,married,professional.course,no,no,no,telephone,jul,wed,348,nonexistent,0,3,no
49,technician,single,high.school,no,yes,no,telephone,jul,wed,144,nonexistent,0,1,no
28,unemployed,single,high.school,no,yes,no,telephone,jul,wed,203,nonexistent,0,1,no
31,services,single,high.school,no,no,no,telephone,jul,wed,106,nonexistent,0,1,no
51,services,married,high.school,unknown,no,no,telephone,jul,wed,372,nonexistent,0,1,no
28,services,married,high.school,no,no,no,telephone,jul,wed,60,nonexistent,0,2,no
28,management,married,university.degree,no,yes,no,telephone,jul,wed,134,nonexistent,0,2,no
28,admin.,single,university.degree,no,yes,yes,telephone,jul,wed,108,nonexistent,0,3,no
38,services,divorced,basic.9y,no,yes,no,telephone,jul,wed,33,nonexistent,0,2,no
30,self-employed,married,university.degree,no,yes,yes,telephone,jul,wed,957,nonexistent,0,3,no
46,services,married,high.school,no,no,no,telephone,jul,wed,83,nonexistent,0,3,no
40,admin.,divorced,professional.course,unknown,no,no,telephone,jul,thu,343,nonexistent,0,2,no
51,services,married,high.school,no,yes,no,telephone,jul,thu,158,nonexistent,0,3,no
45,management,single,university.degree,no,no,yes,telephone,jul,thu,269,nonexistent,0,3,no
36,retired,married,unknown,no,no,no,telephone,jul,thu,269,nonexistent,0,2,no
46,admin.,married,high.school,unknown,no,no,telephone,jul,thu,375,nonexistent,0,3,no
48,entrepreneur,married,basic.6y,no,yes,no,telephone,jul,thu,202,nonexistent,0,1,no
32,housemaid,married,basic.9y,no,no,no,telephone,jul,thu,149,nonexistent,0,1,no
30,blue-collar,divorced,basic.4y,no,yes,yes,telephone,jul,thu,111,nonexistent,0,1,no
56,management,married,university.degree,no,yes,no,telephone,jul,thu,188,nonexistent,0,1,no
29,admin.,single,university.degree,no,yes,no,telephone,jul,thu,211,nonexistent,0,1,no
43,blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,24,nonexistent,0,1,no
29,technician,single,university.degree,no,yes,no,telephone,jul,thu,109,nonexistent,0,1,no
42,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jul,thu,472,nonexistent,0,1,no
39,technician,single,professional.course,no,yes,no,telephone,jul,thu,452,nonexistent,0,1,no
52,retired,divorced,professional.course,no,no,no,telephone,jul,thu,269,nonexistent,0,2,no
39,technician,single,professional.course,no,no,no,telephone,jul,thu,206,nonexistent,0,1,no
40,blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,228,nonexistent,0,2,no
53,blue-collar,married,basic.9y,no,no,no,telephone,jul,thu,183,nonexistent,0,2,no
30,blue-collar,single,basic.4y,no,no,no,telephone,jul,thu,267,nonexistent,0,1,no
36,blue-collar,married,basic.9y,no,no,no,telephone,jul,thu,414,nonexistent,0,1,no
28,blue-collar,married,high.school,no,yes,no,telephone,jul,thu,60,nonexistent,0,1,no
37,blue-collar,married,basic.6y,unknown,yes,no,telephone,jul,thu,95,nonexistent,0,1,no
38,blue-collar,married,basic.6y,unknown,no,no,telephone,jul,thu,85,nonexistent,0,1,no
38,blue-collar,married,high.school,no,yes,no,telephone,jul,thu,125,nonexistent,0,1,no
48,blue-collar,married,basic.6y,unknown,no,no,telephone,jul,thu,256,nonexistent,0,3,no
45,admin.,married,high.school,no,no,no,telephone,jul,thu,172,nonexistent,0,10,no
58,technician,married,university.degree,no,no,no,telephone,jul,thu,84,nonexistent,0,1,no
41,admin.,married,high.school,no,no,no,telephone,jul,thu,412,nonexistent,0,1,no
35,unemployed,married,basic.9y,unknown,no,no,telephone,jul,thu,88,nonexistent,0,1,no
42,blue-collar,married,basic.9y,no,no,no,telephone,jul,thu,130,nonexistent,0,1,no
53,technician,divorced,professional.course,no,no,no,telephone,jul,thu,115,nonexistent,0,4,no
38,technician,single,university.degree,unknown,yes,yes,telephone,jul,thu,168,nonexistent,0,1,no
55,admin.,married,basic.9y,unknown,yes,no,telephone,jul,thu,197,nonexistent,0,1,no
54,admin.,divorced,unknown,unknown,no,no,telephone,jul,thu,154,nonexistent,0,1,no
50,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,jul,thu,90,nonexistent,0,1,no
57,housemaid,divorced,basic.6y,no,yes,no,telephone,jul,thu,51,nonexistent,0,1,no
39,admin.,single,high.school,no,no,no,telephone,jul,thu,89,nonexistent,0,1,no
39,admin.,single,high.school,no,no,no,telephone,jul,thu,108,nonexistent,0,1,no
39,admin.,single,high.school,no,no,no,telephone,jul,thu,97,nonexistent,0,1,no
43,management,married,university.degree,no,no,yes,telephone,jul,thu,203,nonexistent,0,1,no
35,admin.,divorced,university.degree,unknown,no,no,telephone,jul,thu,203,nonexistent,0,1,no
36,retired,married,unknown,no,no,no,telephone,jul,thu,88,nonexistent,0,1,no
36,retired,married,unknown,no,no,no,telephone,jul,thu,88,nonexistent,0,1,no
29,admin.,single,university.degree,no,no,no,telephone,jul,thu,42,nonexistent,0,1,no
37,technician,married,basic.9y,no,yes,no,telephone,jul,thu,991,nonexistent,0,1,no
34,admin.,divorced,university.degree,no,no,no,telephone,jul,thu,676,nonexistent,0,1,yes
34,management,married,university.degree,no,yes,no,telephone,jul,thu,652,nonexistent,0,1,no
29,blue-collar,divorced,high.school,no,yes,no,telephone,jul,thu,178,nonexistent,0,1,no
52,housemaid,single,basic.4y,no,yes,no,telephone,jul,thu,306,nonexistent,0,4,no
24,admin.,single,high.school,no,yes,yes,telephone,jul,thu,354,nonexistent,0,1,no
27,services,married,basic.9y,no,no,no,telephone,jul,thu,100,nonexistent,0,3,no
30,technician,married,professional.course,no,yes,no,telephone,jul,thu,501,nonexistent,0,2,no
34,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,93,nonexistent,0,1,no
41,services,single,high.school,unknown,no,yes,telephone,jul,thu,504,nonexistent,0,1,no
57,housemaid,married,basic.4y,no,yes,no,telephone,jul,thu,381,nonexistent,0,3,no
32,services,married,high.school,no,yes,no,telephone,jul,thu,251,nonexistent,0,2,no
37,technician,married,basic.9y,no,no,no,telephone,jul,thu,515,nonexistent,0,2,no
38,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,389,nonexistent,0,2,no
50,entrepreneur,married,professional.course,no,yes,no,telephone,jul,thu,155,nonexistent,0,2,no
28,management,single,unknown,no,no,no,telephone,jul,thu,135,nonexistent,0,2,no
39,blue-collar,married,basic.9y,unknown,no,yes,telephone,jul,thu,74,nonexistent,0,5,no
34,blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,225,nonexistent,0,2,no
30,services,married,basic.9y,no,no,yes,telephone,jul,thu,172,nonexistent,0,2,no
25,services,single,high.school,no,yes,no,telephone,jul,thu,202,nonexistent,0,2,no
43,blue-collar,married,basic.4y,no,yes,no,telephone,jul,thu,155,nonexistent,0,3,no
26,technician,married,professional.course,no,yes,no,telephone,jul,thu,277,nonexistent,0,2,no
46,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,thu,746,nonexistent,0,4,no
29,entrepreneur,single,university.degree,no,yes,no,telephone,jul,thu,167,nonexistent,0,11,no
23,technician,single,professional.course,no,yes,no,telephone,jul,thu,194,nonexistent,0,2,no
55,blue-collar,married,basic.4y,unknown,no,no,telephone,jul,thu,385,nonexistent,0,6,no
36,management,married,basic.6y,unknown,yes,no,telephone,jul,fri,124,nonexistent,0,2,no
46,self-employed,married,high.school,unknown,yes,no,telephone,jul,fri,121,nonexistent,0,1,no
32,technician,single,professional.course,no,no,no,telephone,jul,fri,566,nonexistent,0,3,no
46,blue-collar,married,unknown,no,yes,no,telephone,jul,fri,257,nonexistent,0,1,no
31,technician,married,high.school,no,yes,no,telephone,jul,fri,111,nonexistent,0,1,no
24,blue-collar,single,basic.9y,unknown,no,no,telephone,jul,fri,270,nonexistent,0,1,no
37,admin.,single,university.degree,no,no,no,telephone,jul,fri,43,nonexistent,0,11,no
27,services,single,high.school,no,yes,no,telephone,jul,fri,433,nonexistent,0,1,no
56,self-employed,married,basic.9y,unknown,no,no,telephone,jul,fri,523,nonexistent,0,1,no
55,technician,married,university.degree,no,yes,no,telephone,jul,fri,49,nonexistent,0,1,no
32,blue-collar,married,basic.6y,unknown,no,yes,telephone,jul,fri,191,nonexistent,0,2,no
26,admin.,single,high.school,no,no,yes,telephone,jul,fri,634,nonexistent,0,1,no
45,management,married,university.degree,unknown,no,yes,telephone,jul,fri,355,nonexistent,0,1,no
45,management,married,university.degree,unknown,no,yes,telephone,jul,fri,31,nonexistent,0,1,no
29,blue-collar,single,high.school,no,yes,no,telephone,jul,fri,52,nonexistent,0,4,no
46,services,married,high.school,no,yes,no,telephone,jul,fri,64,nonexistent,0,1,no
32,technician,divorced,professional.course,no,yes,yes,telephone,jul,fri,99,nonexistent,0,1,no
32,blue-collar,married,basic.6y,no,yes,no,telephone,jul,fri,133,nonexistent,0,1,no
43,management,married,high.school,no,no,yes,telephone,jul,fri,169,nonexistent,0,1,no
32,housemaid,married,basic.6y,no,no,no,telephone,jul,fri,68,nonexistent,0,1,no
30,admin.,single,high.school,no,no,no,telephone,jul,fri,30,nonexistent,0,2,no
39,admin.,married,high.school,no,no,no,telephone,jul,fri,246,nonexistent,0,1,no
39,admin.,married,high.school,no,yes,no,telephone,jul,fri,219,nonexistent,0,1,no
32,blue-collar,single,high.school,no,no,no,telephone,jul,fri,165,nonexistent,0,2,no
43,technician,married,university.degree,no,yes,no,telephone,jul,fri,105,nonexistent,0,3,no
40,blue-collar,single,high.school,no,no,no,telephone,jul,fri,217,nonexistent,0,1,no
31,unemployed,single,professional.course,no,no,no,telephone,jul,fri,538,nonexistent,0,1,no
36,entrepreneur,married,university.degree,no,no,no,telephone,jul,fri,164,nonexistent,0,2,no
50,blue-collar,married,basic.4y,unknown,no,yes,telephone,jul,fri,5,nonexistent,0,1,no
28,admin.,single,university.degree,no,no,no,telephone,jul,fri,46,nonexistent,0,3,no
31,admin.,single,university.degree,no,yes,no,telephone,jul,fri,64,nonexistent,0,1,no
30,admin.,single,high.school,no,yes,no,telephone,jul,fri,105,nonexistent,0,1,no
30,admin.,single,high.school,no,yes,no,telephone,jul,fri,253,nonexistent,0,1,no
27,services,married,high.school,unknown,no,no,telephone,jul,fri,584,nonexistent,0,1,yes
35,blue-collar,married,high.school,no,no,no,telephone,jul,fri,260,nonexistent,0,3,no
34,admin.,married,university.degree,no,yes,no,telephone,jul,fri,126,nonexistent,0,4,no
30,admin.,single,university.degree,no,yes,no,telephone,jul,fri,121,nonexistent,0,1,no
41,entrepreneur,married,basic.4y,no,no,no,telephone,jul,fri,101,nonexistent,0,1,no
43,blue-collar,divorced,basic.4y,unknown,no,no,telephone,jul,fri,195,nonexistent,0,1,no
31,admin.,single,university.degree,no,yes,no,telephone,jul,fri,400,nonexistent,0,1,no
35,blue-collar,married,basic.4y,no,yes,no,telephone,jul,fri,178,nonexistent,0,1,no
53,blue-collar,married,basic.4y,no,yes,no,telephone,jul,fri,134,nonexistent,0,1,no
57,admin.,single,university.degree,unknown,no,no,telephone,jul,fri,80,nonexistent,0,1,no
39,admin.,married,university.degree,no,no,no,telephone,jul,fri,104,nonexistent,0,1,no
41,blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,fri,742,nonexistent,0,1,no
31,admin.,divorced,university.degree,no,yes,no,telephone,jul,fri,692,nonexistent,0,1,no
37,unemployed,married,university.degree,no,no,yes,telephone,jul,fri,85,nonexistent,0,3,no
26,admin.,single,high.school,no,yes,no,telephone,jul,fri,678,nonexistent,0,2,no
38,services,single,high.school,no,no,no,telephone,jul,fri,96,nonexistent,0,2,no
34,technician,single,high.school,no,yes,no,telephone,jul,fri,106,nonexistent,0,2,no
32,admin.,divorced,university.degree,no,no,yes,telephone,jul,fri,137,nonexistent,0,2,no
53,housemaid,married,basic.4y,no,no,no,telephone,jul,fri,53,nonexistent,0,2,no
41,entrepreneur,married,basic.4y,no,yes,no,telephone,jul,fri,89,nonexistent,0,2,no
45,admin.,married,university.degree,no,no,no,telephone,jul,fri,45,nonexistent,0,1,no
33,technician,married,university.degree,no,unknown,unknown,telephone,jul,fri,203,nonexistent,0,1,no
45,blue-collar,married,basic.4y,no,no,no,telephone,jul,fri,407,nonexistent,0,1,no
34,technician,single,professional.course,unknown,yes,no,telephone,jul,fri,225,nonexistent,0,2,no
42,admin.,divorced,university.degree,no,yes,no,telephone,jul,fri,426,nonexistent,0,3,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,fri,61,nonexistent,0,4,no
29,entrepreneur,married,basic.6y,no,yes,yes,telephone,jul,fri,286,nonexistent,0,3,no
30,services,single,high.school,no,yes,no,telephone,jul,fri,1576,nonexistent,0,3,no
43,technician,single,professional.course,no,yes,no,telephone,jul,fri,468,nonexistent,0,6,no
59,retired,married,basic.4y,unknown,no,no,telephone,jul,fri,150,nonexistent,0,2,no
27,admin.,married,university.degree,no,yes,yes,telephone,jul,fri,178,nonexistent,0,2,no
28,blue-collar,divorced,basic.4y,no,no,no,telephone,jul,fri,327,nonexistent,0,1,no
29,admin.,single,university.degree,no,unknown,unknown,telephone,jul,fri,212,nonexistent,0,1,no
49,blue-collar,married,basic.9y,no,no,no,telephone,jul,fri,235,nonexistent,0,1,no
49,blue-collar,married,basic.9y,no,yes,no,telephone,jul,fri,333,nonexistent,0,1,no
45,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,297,nonexistent,0,1,no
29,entrepreneur,married,high.school,no,yes,no,cellular,jul,fri,668,nonexistent,0,2,no
46,services,married,high.school,no,yes,no,telephone,jul,fri,65,nonexistent,0,2,no
33,technician,married,basic.9y,unknown,yes,no,cellular,jul,fri,436,nonexistent,0,4,no
41,management,married,university.degree,no,yes,no,cellular,jul,fri,1044,nonexistent,0,3,no
31,technician,single,professional.course,no,no,no,telephone,jul,fri,141,nonexistent,0,2,no
30,services,divorced,high.school,no,yes,yes,cellular,jul,fri,39,nonexistent,0,2,no
58,retired,married,professional.course,unknown,yes,no,cellular,jul,fri,165,nonexistent,0,2,no
31,blue-collar,married,basic.9y,no,unknown,unknown,cellular,jul,fri,135,nonexistent,0,3,no
30,admin.,married,high.school,no,yes,no,cellular,jul,fri,53,nonexistent,0,6,no
40,blue-collar,divorced,basic.6y,unknown,unknown,unknown,cellular,jul,fri,138,nonexistent,0,3,no
33,services,married,high.school,no,yes,no,cellular,jul,fri,548,nonexistent,0,2,no
38,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,95,nonexistent,0,2,no
29,admin.,married,basic.9y,no,yes,no,cellular,jul,fri,273,nonexistent,0,3,no
40,blue-collar,married,basic.9y,no,no,no,telephone,jul,fri,304,nonexistent,0,3,no
48,blue-collar,married,basic.4y,no,no,yes,cellular,jul,fri,425,nonexistent,0,2,no
51,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,64,nonexistent,0,1,no
51,retired,married,basic.9y,unknown,yes,no,cellular,jul,fri,276,nonexistent,0,1,no
34,technician,married,high.school,unknown,yes,no,cellular,jul,fri,92,nonexistent,0,1,no
46,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,fri,407,nonexistent,0,1,no
34,unemployed,married,high.school,no,no,no,cellular,jul,fri,339,nonexistent,0,1,no
55,admin.,married,high.school,no,yes,no,cellular,jul,mon,92,nonexistent,0,3,no
47,admin.,married,university.degree,unknown,unknown,unknown,cellular,jul,mon,135,nonexistent,0,3,no
41,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,107,nonexistent,0,2,no
49,admin.,divorced,high.school,no,no,no,cellular,jul,mon,148,nonexistent,0,3,no
38,admin.,divorced,high.school,no,no,yes,cellular,jul,mon,125,nonexistent,0,2,no
51,admin.,married,illiterate,unknown,no,no,cellular,jul,mon,151,nonexistent,0,4,no
52,management,married,professional.course,no,yes,no,cellular,jul,mon,491,nonexistent,0,3,yes
59,retired,married,professional.course,unknown,yes,yes,cellular,jul,mon,494,nonexistent,0,4,yes
33,self-employed,married,basic.9y,no,yes,no,cellular,jul,mon,181,nonexistent,0,2,no
40,admin.,married,high.school,no,yes,yes,cellular,jul,mon,615,nonexistent,0,2,yes
48,admin.,married,university.degree,no,yes,no,cellular,jul,mon,99,nonexistent,0,2,no
57,admin.,divorced,basic.9y,no,yes,yes,cellular,jul,mon,518,nonexistent,0,4,no
34,technician,single,university.degree,no,no,yes,cellular,jul,mon,164,nonexistent,0,5,no
53,self-employed,divorced,university.degree,no,no,no,cellular,jul,mon,397,nonexistent,0,3,no
56,technician,married,university.degree,unknown,no,no,cellular,jul,mon,17,nonexistent,0,19,no
29,unemployed,divorced,university.degree,no,yes,no,cellular,jul,mon,148,nonexistent,0,2,no
52,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,mon,128,nonexistent,0,3,no
31,services,married,high.school,unknown,no,no,cellular,jul,mon,160,nonexistent,0,3,no
30,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,89,nonexistent,0,4,no
45,admin.,married,basic.9y,no,yes,yes,cellular,jul,mon,181,nonexistent,0,2,no
30,technician,single,professional.course,no,yes,yes,cellular,jul,mon,111,nonexistent,0,2,no
27,blue-collar,married,basic.9y,unknown,yes,yes,cellular,jul,mon,119,nonexistent,0,3,no
42,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,227,nonexistent,0,6,no
35,admin.,single,university.degree,no,no,no,cellular,jul,mon,107,nonexistent,0,5,no
43,unemployed,married,high.school,unknown,yes,no,cellular,jul,mon,149,nonexistent,0,5,no
35,services,married,professional.course,unknown,no,no,cellular,jul,mon,134,nonexistent,0,2,no
52,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,1434,nonexistent,0,5,no
32,blue-collar,married,basic.6y,no,no,no,telephone,jul,mon,176,nonexistent,0,6,no
48,admin.,married,university.degree,no,yes,yes,cellular,jul,mon,179,nonexistent,0,2,no
40,blue-collar,married,basic.6y,no,no,no,telephone,jul,mon,63,nonexistent,0,6,no
43,management,married,unknown,no,no,yes,cellular,jul,mon,86,nonexistent,0,2,no
34,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,113,nonexistent,0,2,no
42,self-employed,married,unknown,no,yes,no,cellular,jul,mon,685,nonexistent,0,2,no
52,management,divorced,university.degree,no,no,no,cellular,jul,mon,200,nonexistent,0,4,no
31,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,mon,196,nonexistent,0,2,no
44,technician,divorced,professional.course,no,no,no,cellular,jul,mon,250,nonexistent,0,2,no
40,technician,married,university.degree,unknown,no,no,cellular,jul,mon,185,nonexistent,0,2,no
42,technician,married,professional.course,unknown,no,no,cellular,jul,mon,75,nonexistent,0,3,no
42,services,married,high.school,unknown,yes,no,cellular,jul,mon,136,nonexistent,0,4,no
31,admin.,married,basic.9y,unknown,yes,no,telephone,jul,mon,229,nonexistent,0,5,no
57,management,divorced,university.degree,unknown,no,yes,cellular,jul,mon,200,nonexistent,0,1,no
44,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,139,nonexistent,0,2,no
52,services,married,basic.6y,no,no,yes,cellular,jul,mon,161,nonexistent,0,2,no
40,technician,married,basic.9y,unknown,no,no,cellular,jul,mon,141,nonexistent,0,3,no
47,self-employed,married,university.degree,no,yes,no,cellular,jul,mon,39,nonexistent,0,9,no
42,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,mon,49,nonexistent,0,6,no
47,technician,married,professional.course,no,no,no,cellular,jul,mon,66,nonexistent,0,2,no
31,entrepreneur,married,basic.6y,no,yes,yes,cellular,jul,mon,782,nonexistent,0,1,yes
45,management,married,unknown,unknown,no,no,cellular,jul,mon,321,nonexistent,0,3,no
26,admin.,single,university.degree,no,yes,yes,cellular,jul,mon,118,nonexistent,0,4,no
52,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,116,nonexistent,0,6,no
30,admin.,single,university.degree,no,no,no,cellular,jul,mon,128,nonexistent,0,3,no
51,management,married,basic.4y,no,no,no,cellular,jul,mon,104,nonexistent,0,2,no
41,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,mon,126,nonexistent,0,3,no
46,admin.,married,basic.9y,unknown,no,no,cellular,jul,mon,87,nonexistent,0,2,no
31,management,married,high.school,no,no,no,cellular,jul,mon,1272,nonexistent,0,3,yes
45,admin.,divorced,university.degree,no,no,no,cellular,jul,mon,107,nonexistent,0,3,no
42,admin.,single,university.degree,no,no,no,cellular,jul,mon,401,nonexistent,0,2,no
47,services,single,basic.9y,no,no,no,cellular,jul,mon,64,nonexistent,0,2,no
56,blue-collar,single,basic.4y,no,yes,no,cellular,jul,mon,758,nonexistent,0,1,no
37,self-employed,single,basic.4y,no,unknown,unknown,cellular,jul,mon,277,nonexistent,0,2,no
41,blue-collar,single,basic.4y,no,unknown,unknown,cellular,jul,mon,107,nonexistent,0,3,no
42,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,mon,111,nonexistent,0,3,no
23,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,360,nonexistent,0,3,no
42,housemaid,divorced,basic.4y,unknown,no,no,cellular,jul,mon,461,nonexistent,0,2,no
56,admin.,divorced,basic.6y,no,yes,no,cellular,jul,mon,239,nonexistent,0,4,no
39,housemaid,married,basic.4y,no,no,no,cellular,jul,mon,240,nonexistent,0,5,no
31,housemaid,divorced,high.school,no,yes,no,cellular,jul,mon,127,nonexistent,0,4,no
37,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,412,nonexistent,0,4,no
40,technician,married,high.school,no,yes,no,cellular,jul,mon,244,nonexistent,0,4,no
43,management,married,university.degree,unknown,no,no,cellular,jul,mon,240,nonexistent,0,1,no
39,technician,married,basic.9y,no,no,no,cellular,jul,mon,62,nonexistent,0,4,no
40,self-employed,married,high.school,unknown,yes,no,telephone,jul,mon,46,nonexistent,0,2,no
47,blue-collar,single,basic.9y,no,yes,yes,telephone,jul,mon,41,nonexistent,0,9,no
50,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,mon,122,nonexistent,0,2,no
30,services,married,high.school,no,yes,no,cellular,jul,mon,559,nonexistent,0,4,no
40,unemployed,single,high.school,no,yes,no,cellular,jul,mon,300,nonexistent,0,5,no
32,services,single,high.school,no,no,no,cellular,jul,mon,722,nonexistent,0,3,yes
25,admin.,married,high.school,no,no,yes,cellular,jul,mon,64,nonexistent,0,1,no
29,technician,married,professional.course,no,no,no,cellular,jul,mon,328,nonexistent,0,1,no
56,retired,married,basic.4y,no,yes,no,cellular,jul,mon,621,nonexistent,0,2,yes
31,services,single,high.school,no,yes,yes,cellular,jul,mon,232,nonexistent,0,1,no
42,blue-collar,divorced,basic.9y,no,no,no,telephone,jul,mon,259,nonexistent,0,8,no
50,blue-collar,divorced,high.school,no,yes,yes,cellular,jul,mon,629,nonexistent,0,2,yes
41,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,1103,nonexistent,0,3,no
38,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,317,nonexistent,0,6,no
46,entrepreneur,married,university.degree,unknown,no,yes,telephone,jul,mon,126,nonexistent,0,4,no
32,management,single,university.degree,no,no,no,telephone,jul,mon,66,nonexistent,0,8,no
31,technician,married,university.degree,no,yes,yes,cellular,jul,mon,385,nonexistent,0,5,yes
35,blue-collar,married,basic.9y,no,no,no,telephone,jul,mon,1356,nonexistent,0,3,yes
44,services,married,high.school,no,no,no,cellular,jul,mon,190,nonexistent,0,4,no
39,services,married,high.school,unknown,yes,no,telephone,jul,mon,173,nonexistent,0,3,no
36,admin.,married,university.degree,no,no,no,cellular,jul,mon,61,nonexistent,0,6,no
39,unemployed,married,high.school,no,no,no,cellular,jul,mon,74,nonexistent,0,7,no
56,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,86,nonexistent,0,4,no
28,housemaid,single,basic.6y,no,no,no,cellular,jul,mon,94,nonexistent,0,1,no
40,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,mon,56,nonexistent,0,4,no
23,admin.,single,university.degree,no,yes,yes,telephone,jul,mon,69,nonexistent,0,3,no
49,unemployed,divorced,basic.9y,unknown,no,no,cellular,jul,mon,326,nonexistent,0,3,no
28,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,497,nonexistent,0,1,no
49,admin.,divorced,high.school,no,no,no,cellular,jul,mon,21,nonexistent,0,2,no
39,housemaid,married,basic.4y,no,yes,no,cellular,jul,mon,223,nonexistent,0,1,no
36,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,mon,179,nonexistent,0,1,no
45,services,single,basic.9y,unknown,no,yes,cellular,jul,mon,236,nonexistent,0,1,no
51,blue-collar,married,basic.4y,unknown,no,yes,cellular,jul,mon,87,nonexistent,0,1,no
33,services,divorced,unknown,no,no,no,cellular,jul,mon,66,nonexistent,0,1,no
47,services,married,basic.6y,no,yes,no,cellular,jul,mon,207,nonexistent,0,1,no
33,unemployed,divorced,basic.9y,no,unknown,unknown,cellular,jul,mon,385,nonexistent,0,1,no
36,housemaid,married,university.degree,no,yes,no,cellular,jul,mon,137,nonexistent,0,1,no
41,admin.,single,high.school,no,no,no,cellular,jul,mon,459,nonexistent,0,1,no
42,entrepreneur,married,high.school,no,no,no,cellular,jul,mon,217,nonexistent,0,1,no
42,entrepreneur,married,high.school,no,yes,no,cellular,jul,mon,247,nonexistent,0,1,no
28,technician,married,university.degree,no,no,no,cellular,jul,mon,289,nonexistent,0,1,no
39,blue-collar,married,high.school,no,yes,yes,cellular,jul,mon,173,nonexistent,0,1,no
27,admin.,single,university.degree,no,no,no,cellular,jul,mon,130,nonexistent,0,1,no
30,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,332,nonexistent,0,1,no
37,services,divorced,high.school,no,unknown,unknown,cellular,jul,mon,114,nonexistent,0,1,no
40,technician,married,basic.9y,unknown,no,no,cellular,jul,mon,166,nonexistent,0,1,no
37,entrepreneur,married,university.degree,no,yes,no,cellular,jul,mon,183,nonexistent,0,1,no
29,services,married,high.school,no,yes,no,cellular,jul,mon,94,nonexistent,0,1,no
48,blue-collar,divorced,basic.4y,unknown,yes,yes,cellular,jul,mon,169,nonexistent,0,1,no
43,services,single,high.school,no,no,no,cellular,jul,mon,385,nonexistent,0,1,no
28,admin.,single,university.degree,unknown,yes,no,cellular,jul,mon,248,nonexistent,0,3,no
36,blue-collar,married,high.school,no,no,no,cellular,jul,mon,889,nonexistent,0,1,yes
43,admin.,married,high.school,no,yes,no,cellular,jul,mon,118,nonexistent,0,1,no
33,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,199,nonexistent,0,1,no
43,admin.,married,high.school,no,no,no,cellular,jul,mon,240,nonexistent,0,1,no
38,admin.,divorced,high.school,no,yes,no,cellular,jul,mon,128,nonexistent,0,1,no
29,services,married,high.school,no,yes,no,cellular,jul,mon,556,nonexistent,0,1,yes
55,blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,199,nonexistent,0,1,no
34,blue-collar,married,basic.9y,no,yes,no,telephone,jul,mon,199,nonexistent,0,4,no
59,technician,divorced,university.degree,no,no,no,cellular,jul,mon,39,nonexistent,0,1,no
49,blue-collar,married,basic.4y,no,no,yes,telephone,jul,mon,256,nonexistent,0,15,no
43,entrepreneur,married,basic.9y,unknown,yes,no,cellular,jul,mon,174,nonexistent,0,1,no
